# 歌口 梯5 起動 ts=1786460531465 源=wav:/Users/pascaldisse/projects/愛無/.scratch/審-梯5-Rahu/docs/adversary/証/Rahu梯5C8/R_lap1.wav 標本率=48000
# 検出param 検出param { 標本率: 48000, 窓長: 2048, 跳幅: 2048, 法: YIN, 下限hz: 80.0, 上限hz: 400.0, YIN谷閾: 0.1, 明瞭閾: 0.9, 無音閾rms: 0.001, 入力Nyquist比: 0.45, 入力帯域上限hz: 800.0 }
# 写像param 写像param { 基音: 220.0, 律: 八家, 家snap: false, 家数: 8, 満音rms: 0.12589254117941673, 明瞭閾: 0.9, 無音閾rms: 0.001, lap下限: -8, lap上限: 8 }
# 検出 hz=Some(219.81815530098183) 明瞭度=0.996602 rms=0.709671
Z ts=1786460532787 x=1.0000 y=-0.0099 theta=-0.009938 r=1.000000 lap=0 hz=219.758949
# 検出 hz=Some(219.75894880176318) 明瞭度=0.980758 rms=0.704937
Z ts=1786460532830 x=1.0000 y=-0.0031 theta=-0.003090 r=1.000000 lap=0 hz=219.925014
# 検出 hz=Some(219.92501354681497) 明瞭度=0.997881 rms=0.708429
Z ts=1786460532873 x=0.9999 y=-0.0139 theta=-0.013895 r=1.000000 lap=0 hz=219.663026
# 検出 hz=Some(219.66302601202264) 明瞭度=0.981040 rms=0.706484
Z ts=1786460532915 x=1.0000 y=-0.0001 theta=-0.000093 r=1.000000 lap=0 hz=219.997748
# 検出 hz=Some(219.99774756167233) 明瞭度=0.996231 rms=0.706720
Z ts=1786460532958 x=0.9999 y=-0.0156 theta=-0.015614 r=1.000000 lap=0 hz=219.621381
# 検出 hz=Some(219.62138073178733) 明瞭度=0.984115 rms=0.708214
Z ts=1786460533001 x=1.0000 y=0.0005 theta=0.000491 r=1.000000 lap=0 hz=220.011924
# 検出 hz=Some(220.01192420898434) 明瞭度=0.992199 rms=0.705115
Z ts=1786460533043 x=0.9999 y=-0.0146 theta=-0.014634 r=1.000000 lap=0 hz=219.645129
# 検出 hz=Some(219.64512885027992) 明瞭度=0.988720 rms=0.709548
Z ts=1786460533086 x=1.0000 y=-0.0016 theta=-0.001623 r=1.000000 lap=0 hz=219.960620
# 検出 hz=Some(219.96062047775897) 明瞭度=0.987160 rms=0.704152
Z ts=1786460533129 x=0.9999 y=-0.0113 theta=-0.011343 r=1.000000 lap=0 hz=219.724870
# 検出 hz=Some(219.72487018395154) 明瞭度=0.993492 rms=0.710045
Z ts=1786460533171 x=1.0000 y=-0.0058 theta=-0.005797 r=1.000000 lap=0 hz=219.859360
# 検出 hz=Some(219.8593604266619) 明瞭度=0.982816 rms=0.704156
Z ts=1786460533214 x=1.0000 y=-0.0068 theta=-0.006831 r=1.000000 lap=0 hz=219.834275
# 検出 hz=Some(219.8342752941863) 明瞭度=0.996957 rms=0.709540
Z ts=1786460533257 x=0.9999 y=-0.0106 theta=-0.010595 r=1.000000 lap=0 hz=219.743010
# 検出 hz=Some(219.74300950033555) 明瞭度=0.980611 rms=0.705126
Z ts=1786460533299 x=1.0000 y=-0.0025 theta=-0.002546 r=1.000000 lap=0 hz=219.938206
# 検出 hz=Some(219.93820566013824) 明瞭度=0.997823 rms=0.708200
Z ts=1786460533342 x=0.9999 y=-0.0143 theta=-0.014297 r=1.000000 lap=0 hz=219.653280
# 検出 hz=Some(219.65328002910783) 明瞭度=0.981339 rms=0.706734
Z ts=1786460533385 x=1.0000 y=0.0002 theta=0.000154 r=1.000000 lap=0 hz=220.003746
# 検出 hz=Some(220.003745728765) 明瞭度=0.995776 rms=0.706470
# 歌口 梯5 終了 ts=1786460532551 Z標本=46
